a_num,b_link,c_title,d_dateUK,e_dateISO,f_image,g_alt,h_desc,i_page
327,https://www.chronicle.com/blogs/linguafranca/2018/04/18/can-you-explain-what-a-shibboleth-is/,Can You Explain What a Shibboleth Is?,18 Apr 2018,2018-04-18,http://chronicle-brightspot.s3.amazonaws.com/ce/3f/45ffd6722b8909377ab52bf958ef/ephraim-map.jpg,old israel map,Hearing BBC Radio use the word incorrectly, Geoff Pullum examines its Hebrew etymology and ancient history.,https://www.chronicle.com/blogs/linguafranca?p=17
326,https://www.chronicle.com/blogs/linguafranca/2018/04/08/copy-editing-and-proofreading-a-book-it-takes-a-village/,Copy Editing and Proofreading a Book: It Takes a Village,8 Apr 2018,2018-04-08,http://chronicle-brightspot.s3.amazonaws.com/a8/a4/8abab6cf6bd30a816660f169e99e/village.png,takes a village,Geoff Pullum tackles the editing and proofing of a short book on why linguistics matters, and is glad he wasn’t trying to do it alone.,https://www.chronicle.com/blogs/linguafranca?p=18
325,https://www.chronicle.com/blogs/linguafranca/2018/04/03/the-problem-with-the-ban-on-there-are-constructions/,The Problem with the Ban on ‘There Are’ Constructions,3 Apr 2018,2018-04-03,http://chronicle-brightspot.s3.amazonaws.com/97/e3/9c1e2c350e3f1f2bfebab9ee0e95/expletivedeleted.png,expletive t-shirt,Geoff Pullum wonders why usage advisers are so determined to get us to stop writing “there is” and “there are.” Some existentials (as clauses with those expressions are called) can’t be gracefully rephrased.,https://www.chronicle.com/blogs/linguafranca?p=18
324,https://www.chronicle.com/blogs/linguafranca/2018/03/29/ambiguous-adjectives-and-unqualified-lesbians/,Ambiguous Adjectives and Unqualified Lesbians,29 Mar 2018,2018-03-29,http://chronicle-brightspot.s3.amazonaws.com/2a/f4/c32c1ca77a55362dc194ee7fb005/gettyimages-115291531.jpg,cynthia nixon,Geoff Pullum analyzes the subtle semantic underpinning of Cynthia Nixon’s amusing “unqualified lesbian” quip.,https://www.chronicle.com/blogs/linguafranca?p=19
323,https://www.chronicle.com/blogs/linguafranca/2018/03/19/the-adverb-that-killed-a-friendship/,The Adverb That Killed a Friendship,19 Mar 2018,2018-03-19,http://chronicle-brightspot.s3.amazonaws.com/3c/60/8d3f59a1af85166347a5e8ca7f29/screen-shot-2018-03-19-at-3-46-56-pm.png,just definition,Geoff Pullum watched as a monosyllabic, unstressed adverb terminated a neighborly relationship.,https://www.chronicle.com/blogs/linguafranca?p=19
322,https://www.chronicle.com/blogs/linguafranca/2018/03/14/taleb-on-pinker-neologism-and-bile/,Taleb on Pinker: Neologism and Bile,14 Mar 2018,2018-03-14,http://chronicle-brightspot.s3.amazonaws.com/c9/d8/112d189881479d9cb02b08bb72df/taleb-mug.jpg,nassim taleb,Having browsed the latest books by each of these two noted public intellectuals, Geoff Pullum reaches a decision.,https://www.chronicle.com/blogs/linguafranca?p=20
321,https://www.chronicle.com/blogs/linguafranca/2018/03/06/spam-driven-pollution-of-academic-communication/,Spam-Driven Pollution of Academic Communication,6 Mar 2018,2018-03-06,http://chronicle-brightspot.s3.amazonaws.com/55/df/e60526acb497e8c8d9981c22eb10/spamshot.png,spam,Geoff Pullum argues that spam invitations to junk journals and concocted conferences are not just annoying; they do actual harm.,https://www.chronicle.com/blogs/linguafranca?p=20
320,https://www.chronicle.com/blogs/linguafranca/2018/03/01/the-fictional-possessives-with-gerunds-rule/,The Fictional Possessives-With-Gerunds Rule,1 Mar 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
319,https://www.chronicle.com/blogs/linguafranca/2018/02/25/when-but-means-that-not/,When ‘But’ Means ‘That ... Not’,25 Feb 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
318,https://www.chronicle.com/blogs/linguafranca/2018/02/12/no-overtime-pay-for-milk-truck-drivers-or-professors/,No Overtime Pay for Milk-Truck Drivers (or Professors),12 Feb 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
317,https://www.chronicle.com/blogs/linguafranca/2018/02/07/talking-killer-whales-only-a-journalist-could-believe-it/,Talking Killer Whales? Gullible Science Journalists More Likely,7 Feb 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
316,https://www.chronicle.com/blogs/linguafranca/2018/01/28/negative-or-positive-answer-a-or-b/,Negative or Positive? Answer (a) or (b),28 Jan 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
315,https://www.chronicle.com/blogs/linguafranca/2018/01/23/bonehead-guidance-for-would-be-novelists/,Bonehead Guidance for Would-Be Novelists,23 Jan 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
314,https://www.chronicle.com/blogs/linguafranca/2018/01/18/punctuate-punctuate-punctuate/,Punctuate, Punctuate; Punctuate!,18 Jan 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
313,https://www.chronicle.com/blogs/linguafranca/2018/01/11/a-foreign-way-which-never-really-caught-on/,‘A Foreign Way Which Never Really Caught On’,12 Jan 2018,,,,,https://www.chronicle.com/blogs/linguafranca?p=
312,https://www.chronicle.com/blogs/linguafranca/2017/12/29/the-boy-from-the-isle-of-man/,The Boy from the Isle of Man,29 Dec 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
311,https://www.chronicle.com/blogs/linguafranca/2017/12/19/its-the-wine-talking/,It’s the Wine Talking,19 Dec 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
310,https://www.chronicle.com/blogs/linguafranca/2017/12/14/the-fine-line-between-errors-and-dialect-differences/,The Fine Line Between Errors and Dialect Differences,14 Dec 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
309,https://www.chronicle.com/blogs/linguafranca/2017/12/04/the-man-who-hated-relativism/,The Man Who Hated Relativism,4 Dec 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
308,https://www.chronicle.com/blogs/linguafranca/2017/11/29/the-unmentionable-topic-of-edinburgh-weather/,The Unmentionable Topic of Edinburgh Weather,29 Nov 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
307,https://www.chronicle.com/blogs/linguafranca/2017/11/21/answering-a-question-with-a-question/,Answering a Question with a Question,21 Nov 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
306,https://www.chronicle.com/blogs/linguafranca/2017/11/15/the-right-to-tell-people-what-they-do-not-want-to-hear/,The Right to Tell People What They Do Not Want to Hear,15 Nov 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
305,https://www.chronicle.com/blogs/linguafranca/2017/11/05/final-preposition-terror/,Final-Preposition Terror,5 Nov 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
304,https://www.chronicle.com/blogs/linguafranca/2017/11/01/the-ballad-of-bentley-and-craig/,The Ballad of Bentley and Craig,2 Nov 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
303,https://www.chronicle.com/blogs/linguafranca/2017/10/26/buzzfeed-has-style-too/,BuzzFeed Has Style Too,26 Oct 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
302,https://www.chronicle.com/blogs/linguafranca/2017/10/15/the-strange-language-of-harvey-weinsteins-denial/,The Strange Language of Harvey Weinstein’s Denial,15 Oct 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
301,https://www.chronicle.com/blogs/linguafranca/2017/10/11/300-up-still-getting-it-wrong/,300 Up, Stil Getting It Wrong,11 Oct 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
300,https://www.chronicle.com/blogs/linguafranca/2017/10/01/on-the-ropes-at-radio-london/,On the Ropes at Radio London,1 Oct 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
299,https://www.chronicle.com/blogs/linguafranca/2017/09/28/the-subtle-art-of-english-ethnic-slurs/,The Subtle Art of English Ethnic Slurs,28 Sep 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
298,https://www.chronicle.com/blogs/linguafranca/2017/09/20/unapplied-linguistics/,Unapplied Linguistics,20 Sep 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
297,https://www.chronicle.com/blogs/linguafranca/2017/09/11/its-not-a-litmus-test/,It’s Not a Litmus Test,11 Sep 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
296,https://www.chronicle.com/blogs/linguafranca/2017/09/06/a-philosopher-grammarian-gets-something-right/,A Philosopher-Grammarian Gets Something Right,6 Sep 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
295,https://www.chronicle.com/blogs/linguafranca/2017/08/27/bogus-advice-for-op-ed-authors/,Bogus Advice for Op-Ed Authors,27 Aug 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
294,https://www.chronicle.com/blogs/linguafranca/2017/08/22/plain-talk-about-public-murder/,Plain Talk About Public Murder,22 Aug 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
293,https://www.chronicle.com/blogs/linguafranca/2017/08/17/didnt-know-i-would-really-go/,Didn’t Know I Would Really Go,17 Aug 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
292,https://www.chronicle.com/blogs/linguafranca/2017/08/07/robots-gossiping-in-a-secret-language/,Robots Gossiping in a Secret Language?,7 Aug 2017,2018-03-,,,,https://www.chronicle.com/blogs/linguafranca?p=21
291,https://www.chronicle.com/blogs/linguafranca/2017/08/02/back-to-the-real-world/,Back to the Real World,2 Aug 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
290,https://www.chronicle.com/blogs/linguafranca/2017/07/23/being-a-determinative/,Being a Determinative,23 Jul 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
289,https://www.chronicle.com/blogs/linguafranca/2017/07/17/the-americans-have-no-adverbs/,‘The Americans Have No Adverbs’,17 Jul 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
288,https://www.chronicle.com/blogs/linguafranca/2017/07/12/the-much-needed-gap/,The Much-Needed Gap,12 Jul 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
287,https://www.chronicle.com/blogs/linguafranca/2017/06/27/english-grammar-day/,English Grammar Day,27 Jun 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
286,https://www.chronicle.com/blogs/linguafranca/2017/06/22/worst-sentence-ever-seen-in-academic-prose/,Worst Sentence Ever Seen in Academic Prose,22 Jun 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
285,https://www.chronicle.com/blogs/linguafranca/2017/06/12/of-cadillacs-and-prairie-dogs/,Of Cadillacs and Prairie Dogs,12 Jun 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
284,https://www.chronicle.com/blogs/linguafranca/2017/06/04/why-wont-they-heed-plain-facts/,Why Won’t They Heed Plain Facts?,4 Jun 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
283,https://www.chronicle.com/blogs/linguafranca/2017/05/23/dracula-strunk-and-correct-english-usage/,Dracula, Strunk, and Correct English Usage,23 May 2017,,,,,https://www.chronicle.com/blogs/linguafranca?p=
